Image,R,G,B,H,S,V,R/G,R/B,Label
stereo20190406_065607_p0_snap_080.jpg,36.655102040816324,46.69734693877551,22.53857142857143,42.59061224489796,138.78408163265306,46.70816326530612,0.784950250800586,1.6263269344161047,unripe
stereo20190406_065607_p0_snap_080.jpg,36.655102040816324,46.69734693877551,22.53857142857143,42.59061224489796,138.78408163265306,46.70816326530612,0.784950250800586,1.6263269344161047,unripe
stereo20190406_065607_p0_snap_080.jpg,29.87278106508876,29.815581854043394,12.340401051939514,32.414529914529915,165.8777120315582,34.605358316896776,1.0019180974613995,2.420728202598545,fully-ripe
stereo20190406_065607_p0_snap_080.jpg,44.347534602076124,41.756271626297575,17.71128892733564,30.11007785467128,167.3940311418685,49.42279411764706,1.0620566026201579,2.50391203852531,fully-ripe
stereo20190406_065607_p0_snap_080.jpg,24.35574063057704,34.41954193932183,14.251041046995836,44.778108268887564,154.03390838786436,34.437239738251044,0.7076135294705094,1.7090487256174205,unripe
stereo20190406_065607_p0_snap_080.jpg,28.6383,38.6446,15.1814,43.227,164.7675,38.648,0.7410684180795201,1.8864058081561594,unripe
stereo20190406_065607_p0_snap_080.jpg,32.327880859375,40.502685546875,15.881103515625,39.339599609375,163.8984375,41.568359375,0.798166157162576,2.0356180205858028,unripe
stereo20190406_065607_p0_snap_080.jpg,31.874317724791727,43.377046825624824,20.260988221775353,44.46028440103419,149.03138465958057,43.377693191611606,0.7348197424487799,1.5731859494728668,unripe
stereo20190406_065607_p0_snap_080.jpg,40.2645746579417,51.4620761451517,23.05993456276026,41.60603807257585,145.06885782272457,51.47040452111838,0.7824124063756998,1.746082890544558,unripe
stereo20190406_065607_p0_snap_080.jpg,39.485696107078894,46.476387972476196,21.874846828164767,38.692336695258746,140.38882081251768,46.50560844565935,0.8495859797582147,1.8050722076607815,unripe
stereo20190406_065607_p0_snap_080.jpg,40.03700972576531,51.89447146045919,24.713687818877553,42.88052056760204,137.89875637755102,51.914959343112244,0.7715080409132011,1.6200331500040859,unripe
stereo20190406_054921_p0_snap_414.jpg,32.39349112426036,33.753780407626564,20.32051282051282,34.51512163050624,108.77991452991454,34.4258711374096,0.9596993621475218,1.5941268544311429,unripe
stereo20190406_054921_p0_snap_414.jpg,38.44637345679013,38.423418209876544,25.796875,30.45582561728395,95.9957561728395,40.689043209876544,1.0005971681336774,1.4903494533076427,unripe
stereo20190406_054921_p0_snap_414.jpg,38.44637345679013,38.423418209876544,25.796875,30.45582561728395,95.9957561728395,40.689043209876544,1.0005971681336774,1.4903494533076427,unripe
stereo20190406_054921_p0_snap_414.jpg,39.808046875,32.6512890625,18.395546875,25.0816796875,136.88078125,40.6926953125,1.2191872304621265,2.164003359370984,semi-ripe
stereo20190406_054921_p0_snap_414.jpg,48.644514977187065,37.831729815512794,24.06065264828407,22.095268795873835,128.47108708589565,49.88821662368578,1.2858122627825992,2.021744608129329,fully-ripe
stereo20190406_054921_p0_snap_414.jpg,54.04965277777778,35.446736111111115,21.43263888888889,16.808888888888887,150.82256944444444,54.385,1.5248128166222683,2.521837270697706,semi-ripe
stereo20190406_054921_p0_snap_414.jpg,41.095317906574394,34.182417820069205,18.453503460207614,24.423767301038062,141.9313365051903,41.66041306228374,1.2022351988247741,2.2269644203631263,semi-ripe
stereo20190406_054921_p0_snap_414.jpg,40.11867935752528,42.93188578227246,26.24092801903629,34.77558001189768,104.35410469958359,43.34681737061273,0.9344725786391007,1.5288584321346093,unripe
stereo20190406_054921_p0_snap_414.jpg,42.0578,39.5109,22.6487,29.2117,121.3377,43.0764,1.06446042371588,1.856962272906492,semi-ripe
stereo20190406_054921_p0_snap_414.jpg,45.534503271861986,49.811719214753126,33.34235574063058,38.35826888756692,91.64292088042832,49.8546995835812,0.9141321530025438,1.365665040869437,unripe
stereo20190406_054921_p0_snap_414.jpg,42.07004759071981,46.59428911362284,26.33283759666865,36.755353955978585,116.64113622843546,46.62165377751339,0.9029011787070691,1.5976262132790402,unripe
stereo20190406_054921_p0_snap_414.jpg,31.60423875432526,34.70388192041523,21.438581314878892,36.91879325259516,110.1033196366782,34.788116349480966,0.9106828371527246,1.4741751587190883,unripe
stereo20190406_054921_p0_snap_414.jpg,46.288548875432525,50.6154303633218,34.24356617647059,42.82282655709343,92.29438797577855,51.152951989619375,0.914514396065104,1.3517440070187021,unripe
stereo20190406_054921_p0_snap_414.jpg,45.55530020109164,46.50689457052571,31.892703246193623,31.403116920425166,87.05084745762711,47.39284688307958,0.9795384281490718,1.4283921173288272,unripe
stereo20190406_054921_p0_snap_414.jpg,50.2011,41.1942,24.3486,23.0504,137.8559,50.8673,1.2186445619420785,2.0617645114033203,semi-ripe
stereo20190406_054921_p0_snap_414.jpg,63.03465614186851,47.46626297577855,31.640246539792386,19.658628892733564,128.96815527681662,63.519517733564015,1.3279883207606022,1.9922296161724524,semi-ripe
stereo20190405_133623_p0_snap_041.jpg,41.497708333333335,45.26173611111111,24.28263888888889,36.268125,132.509375,47.756458333333335,0.9168384319832115,1.7089448734862533,unripe
stereo20190405_133623_p0_snap_041.jpg,46.129583333333336,39.723333333333336,20.88340277777778,24.49423611111111,145.8325,47.503055555555555,1.161271420339493,2.208910192227787,unripe
stereo20190405_133623_p0_snap_041.jpg,103.36234861591696,76.94442041522491,44.90003243944636,20.23880839100346,148.35434688581316,105.68782439446366,1.343337627663623,2.3020545861468777,fully-ripe
stereo20190406_065607_p0_snap_082.jpg,39.77067221891731,39.25356930398572,16.8139500297442,32.076293872694826,153.10038667459844,42.06870910172516,1.0131731404906326,2.3653364316652516,semi-ripe
stereo20190406_065607_p0_snap_082.jpg,35.06543723973825,37.1219512195122,17.53078524687686,33.93158834027365,142.97784057108865,37.722189173111246,0.9446008801201756,2.0002194279227132,semi-ripe
stereo20190406_065607_p0_snap_082.jpg,47.48583984375,42.080810546875,16.814697265625,29.074951171875,174.595703125,49.641357421875,1.12844377145294,2.8240658070109412,semi-ripe
stereo20190406_065607_p0_snap_082.jpg,38.053093396787624,48.9360499702558,19.19066032123736,41.54417013682332,164.1970553242118,48.9360499702558,0.7776084429338398,1.9828954778445733,unripe
stereo20190406_065607_p0_snap_082.jpg,34.00713860797145,44.3255502676978,20.433224271267104,42.82436049970256,142.07212968471148,44.329565734681736,0.7672128316616927,1.6643052272831698,unripe
stereo20190406_065607_p0_snap_082.jpg,37.78703152885188,46.722635336109455,22.222337894110648,40.33045806067817,136.34696609161213,46.886972040452115,0.8087519714909696,1.7004068025983057,unripe
stereo20190406_065607_p0_snap_082.jpg,33.822873289708504,45.15466983938132,19.188875669244496,43.1192742415229,150.75401546698393,45.15466983938132,0.7490446928207457,1.7626283189502259,unripe
stereo20190406_065607_p0_snap_082.jpg,26.366198510698464,34.76352625129607,15.998892449806768,43.1451597700066,149.90260627768876,34.76628334433028,0.7584440869336319,1.6480004546197424,unripe
stereo20190406_065607_p0_snap_082.jpg,31.362074653596004,41.13017249505137,19.495239890658876,43.64313318880196,144.129512677915,41.14709209162032,0.762507549227854,1.6087033933647141,unripe
stereo20190405_133623_p1_snap_067.jpg,52.911265432098766,58.75019290123457,38.60493827160494,38.96045524691358,89.37403549382717,58.757523148148145,0.9006141735552524,1.370582471962967,unripe
stereo20190405_133623_p1_snap_067.jpg,62.779770710059175,56.15051775147929,35.79354659763314,25.83589127218935,114.23862795857988,63.58700073964497,1.1180619884450727,1.7539405601903921,semi-ripe
